	記号,一般,*,*,*,*,*
パペピプ	名詞,一般,*,*,*,*,*
ってな	助詞,格助詞,連語,*,*,*,ってな,ッテナ,ッテナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ
目黒	名詞,固有名詞,地域,一般,*,*,目黒,メグロ,メグロ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ラブホ	名詞,固有名詞,一般,*,*,*,ラブホ,ラブホ,ラブホ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
一個	名詞,一般,*,*,*,*,一個,イッコ,イッコ
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
じゃん	助動詞,*,*,*,不変化型,基本形,じゃん,ジャン,ジャン
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
もう	副詞,一般,*,*,*,*,もう,モウ,モー
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
、	記号,読点,*,*,*,*,、,、,、
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
も	助詞,係助詞,*,*,*,*,も,モ,モ
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
専念	名詞,サ変接続,*,*,*,*,専念,センネン,センネン
。	記号,句点,*,*,*,*,。,。,。
炭水化物	名詞,一般,*,*,*,*,炭水化物,タンスイカブツ,タンスイカブツ
抜い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,抜く,ヌイ,ヌイ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
食べ	動詞,自立,*,*,一段,未然形,食べる,タベ,タベ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ばいいん	名詞,サ変接続,*,*,*,*,ばいいん,バイイン,バイイン
だい	名詞,一般,*,*,*,*,だい,ダイ,ダイ
？	記号,一般,*,*,*,*,？,？,？
w	名詞,固有名詞,組織,*,*,*,*
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー
いえ	動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
AndroidN	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
通知	名詞,サ変接続,*,*,*,*,通知,ツウチ,ツーチ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
変化	名詞,サ変接続,*,*,*,*,変化,ヘンカ,ヘンカ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
。	記号,句点,*,*,*,*,。,。,。
あと	名詞,一般,*,*,*,*,あと,アト,アト
、	記号,読点,*,*,*,*,、,、,、
設定	名詞,サ変接続,*,*,*,*,設定,セッテイ,セッテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
予測	名詞,サ変接続,*,*,*,*,予測,ヨソク,ヨソク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
変える	動詞,自立,*,*,一段,基本形,変える,カエル,カエル
だろ	助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
上	名詞,一般,*,*,*,*,上,ウエ,ウエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
。	記号,句点,*,*,*,*,。,。,。
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
外れ	動詞,自立,*,*,一段,連用形,外れる,ハズレ,ハズレ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
。	記号,句点,*,*,*,*,。,。,。
確か	名詞,形容動詞語幹,*,*,*,*,確か,タシカ,タシカ
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
しよう	名詞,一般,*,*,*,*,しよう,シヨウ,シヨー
ちんこ	名詞,固有名詞,一般,*,*,*,ちんこ,チンコ,チンコ
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
しよう	名詞,一般,*,*,*,*,しよう,シヨウ,シヨー
通知	名詞,サ変接続,*,*,*,*,通知,ツウチ,ツーチ
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
しよう	名詞,一般,*,*,*,*,しよう,シヨウ,シヨー
…	記号,一般,*,*,*,*,…,…,…
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
しよう	名詞,一般,*,*,*,*,しよう,シヨウ,シヨー
ドリチケ	名詞,一般,*,*,*,*,*
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
しよう	名詞,一般,*,*,*,*,しよう,シヨウ,シヨー
#た行のあとに結婚しようをつける	名詞,固有名詞,一般,*,*,*,#た行のあとに結婚しようをつける,タギョウノアトニケッコンシヨウヲツケル,タギョウノアトニケッコンシヨーオツケル
狙っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,狙う,ネラッ,ネラッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思わ	動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
…	記号,一般,*,*,*,*,…,…,…
井戸田	名詞,固有名詞,地域,一般,*,*,井戸田,イドタ,イドタ
おもろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おもろい,オモロイ,オモロイ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
かっこいい	形容詞,自立,*,*,不変化型,基本形,かっこいい,カッコイイ,カッコイイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
w	名詞,一般,*,*,*,*,*
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー
ん	助詞,終助詞,*,*,*,*,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
超	接頭詞,名詞接続,*,*,*,*,超,チョウ,チョー
優し	形容詞,自立,*,*,形容詞・イ段,文語基本形,優しい,ヤサシ,ヤサシ
😋	記号,一般,*,*,*,*,おいしい(笑),ウマイ,ウマイ
ピザ	名詞,一般,*,*,*,*,ピザ,ピザ,ピザ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
過ぎ	動詞,非自立,*,*,一段,連用形,過ぎる,スギ,スギ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
お腹	名詞,一般,*,*,*,*,お腹,オナカ,オナカ
痛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,痛い,イタイ,イタイ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
目	名詞,一般,*,*,*,*,目,メ,メ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
イカれた	名詞,固有名詞,一般,*,*,*,イカれた,イカレタ,イカレタ
(*_*)	記号,一般,*,*,*,*,(*_*),カオモジ,カオモジ
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ
1時間	名詞,固有名詞,一般,*,*,*,1時間,イチジカン,イチジカン
寝	動詞,自立,*,*,一段,連用形,寝る,ネ,ネ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
様子見	名詞,一般,*,*,*,*,様子見,ヨウスミ,ヨースミ
焼きそば	名詞,一般,*,*,*,*,焼きそば,ヤキソバ,ヤキソバ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
汗だく	名詞,一般,*,*,*,*,汗だく,アセダク,アセダク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ι	記号,アルファベット,*,*,*,*,ι,イオタ,イオタ
(´	記号,一般,*,*,*,*,*
Д	名詞,固有名詞,組織,*,*,*,*
｀	記号,一般,*,*,*,*,｀,｀,｀
υ	記号,アルファベット,*,*,*,*,υ,ウプシロン,ウプシロン
)	記号,一般,*,*,*,*,*
ｱﾂｲｰーー	名詞,一般,*,*,*,*,*
三	名詞,数,*,*,*,*,三,サン,サン
択	名詞,固有名詞,人名,名,*,*,択,タク,タク
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
一向に	副詞,一般,*,*,*,*,一向に,イッコウニ,イッコーニ
進ま	動詞,自立,*,*,五段・マ行,未然形,進む,ススマ,ススマ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ループ	名詞,一般,*,*,*,*,ループ,ループ,ループ
ほんと	感動詞,*,*,*,*,*,ほんと,ホント,ホント
ループ	名詞,一般,*,*,*,*,ループ,ループ,ループ
➰	記号,一般,*,*,*,*,ハッピー,ハッピー,ハッピー
ぐるぐる	副詞,一般,*,*,*,*,ぐるぐる,グルグル,グルグル
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
まわる	動詞,自立,*,*,五段・ラ行,基本形,まわる,マワル,マワル
ガンダム	名詞,固有名詞,一般,*,*,*,GUNDAM,ガンダム,ガンダム
記憶	名詞,サ変接続,*,*,*,*,記憶,キオク,キオク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ください	動詞,自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
今回	名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ
#	記号,一般,*,*,*,*,*
か行	名詞,固有名詞,一般,*,*,*,か行,カギョウ,カギョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
苦しん	動詞,自立,*,*,五段・マ行,連用タ接続,苦しむ,クルシン,クルシン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル
ゲス	名詞,一般,*,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
解放	名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
平愛梨	名詞,固有名詞,人名,一般,*,*,平愛梨,タイラアイリ,タイラアイリ
長友	名詞,固有名詞,人名,姓,*,*,長友,ナガトモ,ナガトモ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
とら	動詞,自立,*,*,五段・ラ行,未然形,とる,トラ,トラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
夜	名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
萎える	動詞,自立,*,*,一段,基本形,萎える,ナエル,ナエル
。	記号,句点,*,*,*,*,。,。,。
明日	名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
休み	名詞,一般,*,*,*,*,休み,ヤスミ,ヤスミ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ
、	記号,読点,*,*,*,*,、,、,、
、	記号,読点,*,*,*,*,、,、,、
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン
じゃ	助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
そりゃ	名詞,代名詞,縮約,*,*,*,そりゃ,ソリャ,ソリャ
ーー	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
梅郷	名詞,固有名詞,人名,姓,*,*,梅郷,バイゴウ,バイゴー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
看板	名詞,一般,*,*,*,*,看板,カンバン,カンバン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
野田	名詞,固有名詞,人名,姓,*,*,野田,ノダ,ノダ
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ある	動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
、	記号,読点,*,*,*,*,、,、,、
wiki	名詞,固有名詞,一般,*,*,*,Wiki,ウィキ,ウィキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
柏	名詞,固有名詞,人名,姓,*,*,柏,カシワ,カシワ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ある	動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
！	記号,一般,*,*,*,*,！,！,！
？	記号,一般,*,*,*,*,？,？,？
！	記号,一般,*,*,*,*,！,！,！
？	記号,一般,*,*,*,*,？,？,？
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
在り方	名詞,一般,*,*,*,*,在り方,アリカタ,アリカタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
しっかり	副詞,助詞類接続,*,*,*,*,しっかり,シッカリ,シッカリ
持つ	動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
認識	名詞,サ変接続,*,*,*,*,認識,ニンシキ,ニンシキ
。	記号,句点,*,*,*,*,。,。,。
凄く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,凄い,スゴク,スゴク
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
1人	名詞,固有名詞,一般,*,*,*,1人,ヒトリ,ヒトリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くださっ	動詞,非自立,*,*,五段・ラ行特殊,連用タ接続,くださる,クダサッ,クダサッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
感謝	名詞,サ変接続,*,*,*,*,感謝,カンシャ,カンシャ
。	記号,句点,*,*,*,*,。,。,。
よし	副詞,一般,*,*,*,*,よし,ヨシ,ヨシ
！	記号,一般,*,*,*,*,！,！,！
パワーアップ	名詞,サ変接続,*,*,*,*,パワーアップ,パワーアップ,パワーアップ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ぞ	助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ
！	記号,一般,*,*,*,*,！,！,！
！	記号,一般,*,*,*,*,！,！,！
当店	名詞,一般,*,*,*,*,当店,トウテン,トーテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アブサン	名詞,一般,*,*,*,*,アブサン,アブサン,アブサン
11種	名詞,固有名詞,一般,*,*,*,11種,ジュウイチシュ,ジュウイチシュ
類	名詞,接尾,一般,*,*,*,類,ルイ,ルイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
連続	名詞,サ変接続,*,*,*,*,連続,レンゾク,レンゾク
ショット	名詞,サ変接続,*,*,*,*,ショット,ショット,ショット
！	記号,一般,*,*,*,*,！,！,！
腹痛	名詞,一般,*,*,*,*,腹痛,ハライタ,ハライタ
再	接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
発動	名詞,サ変接続,*,*,*,*,発動,ハツドウ,ハツドー
💤	記号,一般,*,*,*,*,ZZZ,グーグーグー,グーグーグー
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ
木曜	名詞,副詞可能,*,*,*,*,木曜,モクヨウ,モクヨー
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
勝手	名詞,形容動詞語幹,*,*,*,*,勝手,カッテ,カッテ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
食う	動詞,自立,*,*,五段・ワ行促音便,基本形,食う,クウ,クウ
2	名詞,数,*,*,*,*,*
コ上	名詞,一般,*,*,*,*,湖上,コジョウ,コジョー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
嫌い	動詞,自立,*,*,五段・ワ行促音便,連用形,嫌う,キライ,キライ
来月	名詞,副詞可能,*,*,*,*,来月,ライゲツ,ライゲツ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
木曜	名詞,副詞可能,*,*,*,*,木曜,モクヨウ,モクヨー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
塾	名詞,一般,*,*,*,*,塾,ジュク,ジュク
講	名詞,接尾,一般,*,*,*,講,コウ,コー
やろう	名詞,一般,*,*,*,*,野郎,ヤロウ,ヤロー
かな	名詞,一般,*,*,*,*,かな,カナ,カナ
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ
、	記号,読点,*,*,*,*,、,、,、
たっ	動詞,自立,*,*,五段・タ行,連用タ接続,たつ,タッ,タッ
し	助動詞,*,*,*,文語・キ,体言接続,き,シ,シ
ー	名詞,一般,*,*,*,*,*
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
出来	動詞,自立,*,*,一段,連用形,出来る,デキ,デキ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
やってみよう	名詞,固有名詞,一般,*,*,*,やってみよう,ヤッテミヨウ,ヤッテミヨー
かな	名詞,一般,*,*,*,*,かな,カナ,カナ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
るか	名詞,固有名詞,人名,名,*,*,るか,ルカ,ルカ
じじい	名詞,一般,*,*,*,*,じじい,ジジイ,ジジー
#	記号,一般,*,*,*,*,*
笑点	名詞,固有名詞,一般,*,*,*,笑点,ショウテン,ショウテン
あるある	名詞,固有名詞,一般,*,*,*,あるある,アルアル,アルアル
おは	名詞,一般,*,*,*,*,尾羽,オハ,オハ
よー	助詞,終助詞,*,*,*,*,よー,ヨー,ヨー
♡	記号,一般,*,*,*,*,*
#	記号,一般,*,*,*,*,*
社会	名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ゴミ	名詞,一般,*,*,*,*,ゴミ,ゴミ,ゴミ
つる	名詞,固有名詞,地域,一般,*,*,つる,ツル,ツル
顔	名詞,一般,*,*,*,*,顔,カオ,カオ
四角く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,四角い,シカクク,シカクク
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ
。	記号,句点,*,*,*,*,。,。,。
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
わっ	副詞,助詞類接続,*,*,*,*,わっ,ワッ,ワッ
元気	名詞,形容動詞語幹,*,*,*,*,元気,ゲンキ,ゲンキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
急	名詞,形容動詞語幹,*,*,*,*,急,キュウ,キュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
裏切ら	動詞,自立,*,*,五段・ラ行,未然形,裏切る,ウラギラ,ウラギラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
感	名詞,一般,*,*,*,*,感,カン,カン
ハンパ	名詞,一般,*,*,*,*,*
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ショック	名詞,形容動詞語幹,*,*,*,*,ショック,ショック,ショック
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト
先	名詞,接尾,一般,*,*,*,先,サキ,サキ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
休憩	名詞,サ変接続,*,*,*,*,休憩,キュウケイ,キューケイ
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
かなり	副詞,一般,*,*,*,*,かなり,カナリ,カナリ
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
、	記号,読点,*,*,*,*,、,、,、
食欲	名詞,一般,*,*,*,*,食欲,ショクヨク,ショクヨク
ござい	助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
親	名詞,一般,*,*,*,*,親,オヤ,オヤ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
申し訳ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,申し訳ない,モウシワケナイ,モーシワケナイ
あー	感動詞,*,*,*,*,*,あー,アー,アー
、	記号,読点,*,*,*,*,、,、,、
だめ	名詞,形容動詞語幹,*,*,*,*,だめ,ダメ,ダメ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
、	記号,読点,*,*,*,*,、,、,、
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ
眠い	形容詞,自立,*,*,形容詞・アウオ段,基本形,眠い,ネムイ,ネムイ
#	記号,一般,*,*,*,*,*
とても	副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
ツイート	名詞,固有名詞,一般,*,*,*,tweet,ツイート,ツイート
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
しろ	動詞,自立,*,*,サ変・スル,命令ｒｏ,する,シロ,シロ
可愛く	形容詞,自立,*,*,形容詞・イ段,連用テ接続,可愛い,カワイク,カワイク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
リング	名詞,一般,*,*,*,*,リング,リング,リング
10	名詞,数,*,*,*,*,*
個	名詞,接尾,助数詞,*,*,*,個,コ,コ
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ
ブカブカ	名詞,固有名詞,一般,*,*,*,ブカブカ,ブカブカ,ブカブカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
使え	動詞,自立,*,*,一段,未然形,使える,ツカエ,ツカエ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
無駄	名詞,形容動詞語幹,*,*,*,*,無駄,ムダ,ムダ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
した	名詞,一般,*,*,*,*,した,シタ,シタ
